Date,CO (µmole),NO (µmole),NO2 (µmole),O3 (µmole),SO2 (µmole),PM2.5 (µmole),PM10 (µmole),NH3 (µmole)
25-11-2020,2616.9,2.2,70.6,13.6,38.6,364.6,411.7,28.6
25-11-2020,3631.6,23.3,89.1,0.3,54.4,421,486.2,41
25-11-2020,4539.5,52.8,100.1,1.1,68.7,463.7,542,49.1
25-11-2020,4539.5,51,111,6.4,78.2,454.8,534,48.1
25-11-2020,4379.3,42.9,117.9,17.2,87.7,448.1,529.2,46.6
25-11-2020,3898.6,28.4,117.9,40.1,101.1,437.3,511.8,42.1
25-11-2020,1949.3,14.5,105.6,83.7,185,312.8,349.2,12.8
25-11-2020,1508.7,11.6,112.4,88,217.4,275.5,303.5,6.6
25-11-2020,1361.9,7,109.7,95.8,213.6,263.5,289.9,6
25-11-2020,1602.2,3.1,93.2,104.4,152.6,271.3,302.3,12.2
25-11-2020,2136.2,1.3,94.6,86.6,104,284.5,324.3,21.3
25-11-2020,2590.2,0.2,109.7,50.8,82,287.8,336,27.9
25-11-2020,3017.4,0.6,120.6,19.7,69.6,295.4,354.2,35.5
25-11-2020,3471.4,6.7,117.9,3,65.8,325.9,402.4,46.1
25-11-2020,3898.6,16.1,105.6,0.3,63.9,363.2,456.4,50.7
25-11-2020,4058.8,19.7,98.7,0.1,59.6,387.5,491,42.1
25-11-2020,3898.6,18.1,91.9,0.1,52.9,394.5,498.9,31.9
25-11-2020,3418,13.2,83.6,0.3,42.9,369,461.2,20.5
25-11-2020,2803.8,7.2,74.7,0.9,33.9,327.5,400.2,12.2
25-11-2020,2456.7,4.8,65.8,1.4,31,303.8,365.3,9.6
25-11-2020,2269.8,4.3,58.3,1.4,30.5,285.2,340.6,8.7
25-11-2020,2162.9,5.4,53.5,0.8,31,272.2,320.7,7.9
25-11-2020,2136.2,8.2,49.4,0.3,31.5,264,305.1,7.1
26-11-2020,2189.6,13.2,46.6,0.1,33.4,260.1,296.5,7.3
26-11-2020,2483.4,23.9,45.9,0,39.1,268.1,305.4,10.3
26-11-2020,3284.5,47.8,51.4,0,53.9,309.1,359,17.5
26-11-2020,3791.8,67.1,60.3,1.1,73.4,337.8,398.4,23.8
26-11-2020,3097.5,46.9,71.3,8.6,96.3,300.5,353.2,24.8
26-11-2020,2643.6,34.4,72.7,20.7,104,264.4,315.3,28.4
26-11-2020,2109.5,23.7,67.9,33.3,108.7,208,253.9,26.6
26-11-2020,1094.8,10,49.4,66.5,90.6,115.3,139.5,12.8
26-11-2020,894.6,7.5,42.5,82.3,83.9,92.8,111.6,10.1
26-11-2020,881.2,7.3,44.6,85.1,92.5,88.5,107.1,10.6
26-11-2020,1308.4,9.2,63.1,67.2,100.1,107,132.1,17.2
26-11-2020,2056.1,11.5,91.9,30.8,95.4,138.2,175.2,26.9
26-11-2020,2670.3,23.9,106.9,2.3,84.9,155.7,203.8,33.4
26-11-2020,3097.5,42.9,94.6,0,74.4,169.5,227,41
26-11-2020,3578.2,52.8,85,0,69.6,202.2,277,50.2
26-11-2020,3952,53.6,85,0,64.9,234.4,325.9,49.1
26-11-2020,4005.4,47.8,85,0,59.1,245.5,343.5,39
26-11-2020,3685,37.1,84.3,0,52,229.8,319.4,30.4
26-11-2020,2723.7,20.6,78.1,0.1,42.9,174.8,238.3,19.8
26-11-2020,1695.6,4.5,67.2,2.5,32.4,114.3,149.5,11.7
26-11-2020,1308.4,0.8,54.8,9.4,26.7,90,113.3,9.9
26-11-2020,1134.9,0.2,47.3,18.1,27.7,82,100.6,9.5
26-11-2020,974.7,0,39.8,31.1,29.6,77.1,92.1,9
26-11-2020,894.6,0,34.6,39,28.4,73.1,86.4,8.6
27-11-2020,894.6,0,33.6,39,28.1,71.2,84,8.6
27-11-2020,1068.1,0.2,40.4,28.6,32.4,77.7,93.5,10.4
27-11-2020,1442,2.7,55.5,10,40.5,93.9,117.2,15
27-11-2020,1668.9,15.4,53.5,11.4,47.2,100.7,128.9,18
27-11-2020,1709,23.5,47.3,24,54.8,101.9,132.2,20.8
27-11-2020,1655.6,22.4,45.9,37.9,62,102.5,134.2,23.6
