date,co,no,no2,o3,so2,pm2_5,pm10,nh3
11/25/2020,2616.9 µmole,2.2 µmole,70.6 µmole,13.6 µmole,38.6 µmole,364.6 µmole,411.7 µmole,28.6 µmole
11/25/2020,3631.6 µmole,23.3 µmole,89.1 µmole,0.3 µmole,54.4 µmole,421.0 µmole,486.2 µmole,41.0 µmole
11/25/2020,4539.5 µmole,52.8 µmole,100.1 µmole,1.1 µmole,68.7 µmole,463.7 µmole,542.0 µmole,49.1 µmole
11/25/2020,4539.5 µmole,51.0 µmole,111.0 µmole,6.4 µmole,78.2 µmole,454.8 µmole,534.0 µmole,48.1 µmole
11/25/2020,4379.3 µmole,42.9 µmole,117.9 µmole,17.2 µmole,87.7 µmole,448.1 µmole,529.2 µmole,46.6 µmole
11/25/2020,3898.6 µmole,28.4 µmole,117.9 µmole,40.1 µmole,101.1 µmole,437.3 µmole,511.8 µmole,42.1 µmole
11/25/2020,1949.3 µmole,14.5 µmole,105.6 µmole,83.7 µmole,185.0 µmole,312.8 µmole,349.2 µmole,12.8 µmole
11/25/2020,1508.7 µmole,11.6 µmole,112.4 µmole,88.0 µmole,217.4 µmole,275.5 µmole,303.5 µmole,6.6 µmole
11/25/2020,1361.9 µmole,7.0 µmole,109.7 µmole,95.8 µmole,213.6 µmole,263.5 µmole,289.9 µmole,6.0 µmole
11/25/2020,1602.2 µmole,3.1 µmole,93.2 µmole,104.4 µmole,152.6 µmole,271.3 µmole,302.3 µmole,12.2 µmole
11/25/2020,2136.2 µmole,1.3 µmole,94.6 µmole,86.6 µmole,104.0 µmole,284.5 µmole,324.3 µmole,21.3 µmole
11/25/2020,2590.2 µmole,0.2 µmole,109.7 µmole,50.8 µmole,82.0 µmole,287.8 µmole,336.0 µmole,27.9 µmole
11/25/2020,3017.4 µmole,0.6 µmole,120.6 µmole,19.7 µmole,69.6 µmole,295.4 µmole,354.2 µmole,35.5 µmole
11/25/2020,3471.4 µmole,6.7 µmole,117.9 µmole,3.0 µmole,65.8 µmole,325.9 µmole,402.4 µmole,46.1 µmole
11/25/2020,3898.6 µmole,16.1 µmole,105.6 µmole,0.3 µmole,63.9 µmole,363.2 µmole,456.4 µmole,50.7 µmole
11/25/2020,4058.8 µmole,19.7 µmole,98.7 µmole,0.1 µmole,59.6 µmole,387.5 µmole,491.0 µmole,42.1 µmole
11/25/2020,3898.6 µmole,18.1 µmole,91.9 µmole,0.1 µmole,52.9 µmole,394.5 µmole,498.9 µmole,31.9 µmole
11/25/2020,3418.0 µmole,13.2 µmole,83.6 µmole,0.3 µmole,42.9 µmole,369.0 µmole,461.2 µmole,20.5 µmole
11/25/2020,2803.8 µmole,7.2 µmole,74.7 µmole,0.9 µmole,33.9 µmole,327.5 µmole,400.2 µmole,12.2 µmole
11/25/2020,2456.7 µmole,4.8 µmole,65.8 µmole,1.4 µmole,31.0 µmole,303.8 µmole,365.3 µmole,9.6 µmole
11/25/2020,2269.8 µmole,4.3 µmole,58.3 µmole,1.4 µmole,30.5 µmole,285.2 µmole,340.6 µmole,8.7 µmole
11/25/2020,2162.9 µmole,5.4 µmole,53.5 µmole,0.8 µmole,31.0 µmole,272.2 µmole,320.7 µmole,7.9 µmole
11/25/2020,2136.2 µmole,8.2 µmole,49.4 µmole,0.3 µmole,31.5 µmole,264.0 µmole,305.1 µmole,7.1 µmole
11/26/2020,2189.6 µmole,13.2 µmole,46.6 µmole,0.1 µmole,33.4 µmole,260.1 µmole,296.5 µmole,7.3 µmole
11/26/2020,2483.4 µmole,23.9 µmole,45.9 µmole,0.0 µmole,39.1 µmole,268.1 µmole,305.4 µmole,10.3 µmole
11/26/2020,3284.5 µmole,47.8 µmole,51.4 µmole,0.0 µmole,53.9 µmole,309.1 µmole,359.0 µmole,17.5 µmole
11/26/2020,3791.8 µmole,67.1 µmole,60.3 µmole,1.1 µmole,73.4 µmole,337.8 µmole,398.4 µmole,23.8 µmole
11/26/2020,3097.5 µmole,46.9 µmole,71.3 µmole,8.6 µmole,96.3 µmole,300.5 µmole,353.2 µmole,24.8 µmole
11/26/2020,2643.6 µmole,34.4 µmole,72.7 µmole,20.7 µmole,104.0 µmole,264.4 µmole,315.3 µmole,28.4 µmole
11/26/2020,2109.5 µmole,23.7 µmole,67.9 µmole,33.3 µmole,108.7 µmole,208.0 µmole,253.9 µmole,26.6 µmole
11/26/2020,1094.8 µmole,10.0 µmole,49.4 µmole,66.5 µmole,90.6 µmole,115.3 µmole,139.5 µmole,12.8 µmole
11/26/2020,894.6 µmole,7.5 µmole,42.5 µmole,82.3 µmole,83.9 µmole,92.8 µmole,111.6 µmole,10.1 µmole
11/26/2020,881.2 µmole,7.3 µmole,44.6 µmole,85.1 µmole,92.5 µmole,88.5 µmole,107.1 µmole,10.6 µmole
11/26/2020,1308.4 µmole,9.2 µmole,63.1 µmole,67.2 µmole,100.1 µmole,107.0 µmole,132.1 µmole,17.2 µmole
11/26/2020,2056.1 µmole,11.5 µmole,91.9 µmole,30.8 µmole,95.4 µmole,138.2 µmole,175.2 µmole,26.9 µmole
